Name,Category,Density,ElasticModulus,DampingRatio,Thickness,PoissonRatio
Gypsum 860kg/m3 6.6mm,Gypsum,860,3.20E+09,0.01,0.0066,0.3
Gypsum 825kg/m3 15.4mm,Gypsum,825,2.00E+09,0.01,0.0154,0.3
Gypsum 935kg/m3 12.5mm,Gypsum,935,3.50E+09,0.01,0.0125,0.3
Gypsum 760kg/m3 9.5mm,Gypsum,760,2.40E+09,0.01,0.0095,0.3
Gypsum 1120kg/m3 12.5mm,Gypsum,1120,4.70E+09,0.01,0.0125,0.3
Gypsum 700kg/m3 12.5mm,Gypsum,700,2.20E+09,0.02,0.0125,0.3
Gypsum 660kg/m3 12.5mm,Gypsum,660,2.00E+09,0.015,0.0125,0.3
Gypsum 1000kg/m3 12.5mm,Gypsum,1000,4.00E+09,0.012,0.0125,0.3
Gypsum 970kg/m3 15.9mm,Gypsum,970,4.00E+09,0.015,0.0159,0.3
Gypsum 825kg/m3 15.6mm,Gypsum,825,3.20E+09,0.01,0.0156,0.3
Gypsum 720kg/m3 12.5mm,Gypsum,720,2.29E+09,0.01,0.0125,0.3
Gypsum 1015kg/m3 12.5mm,Gypsum,1015,4.00E+09,0.01,0.0125,0.3
Gypsum 740kg/m3 9.5mm,Gypsum,740,2.00E+09,0.01,0.0095,0.3
Gypsum 935kg/m3 15mm,Gypsum,935,2.00E+09,0.01,0.015,0.3
Gypsum 1120kg/m3 12.5mm,Gypsum,1120,3.80E+09,0.01,0.0125,0.3
Gypsum 670kg/m3 15mm,Gypsum,670,2.20E+09,0.015,0.015,0.3
Gypsum 860kg/m3 12.5mm,Gypsum,860,3.40E+09,0.008,0.0125,0.3
Gypsum 860kg/m3 15mm,Gypsum,860,3.40E+09,0.008,0.015,0.3
Gypsum 1100kg/m3 12.5mm,Gypsum,1100,4.62E+09,0.006,0.0125,0.3
Gypsum 1025kg/m3 12.5mm,Gypsum,1025,7.86E+09,0.015,0.0125,0.3
Gypsum 864kg/m3 12.5mm,Gypsum,864,3.46E+09,0.008,0.0125,0.3
Gypsum 1300kg/m3 9mm,Gypsum,1300,1.16E+10,0.008,0.009,0.3
Gypsum 1300kg/m3 12mm,Gypsum,1300,1.16E+10,0.008,0.012,0.3
Gypsum 960kg/m3 12.5mm,Gypsum,960,4.75E+09,0.008,0.0125,0.3
Gypsum 736kg/m3 12.5mm,Gypsum,736,2.13E+09,0.008,0.0125,0.3
Gypsum 892kg/m3 15mm,Gypsum,892,3.27E+09,0.01,0.015,0.3
Gypsum 1426kg/m3 12mm,Gypsum,1426,4.51E+09,0.008,0.012,0.3
Gypsum 1053kg/m3 15mm,Gypsum,1053,6.25E+09,0.008,0.015,0.3
Gypsum 1025kg/m3 20mm,Gypsum,1025,5.80E+09,0.008,0.02,0.3
Gypsum 720kg/m3 12.5mm,Gypsum,720,2.40E+09,0.008,0.0125,0.3
Gypsum 880kg/m3 12.5mm,Gypsum,880,4.00E+09,0.01,0.0125,0.3
Gypsum 1000kg/m3 12.5mm,Gypsum,1000,5.00E+09,0.008,0.0125,0.3
Gypsum 790kg/m3 15mm,Gypsum,790,3.00E+09,0.006,0.015,0.3
Gypsum 1080kg/m3 15mm,Gypsum,1080,4.20E+09,0.008,0.015,0.3
Gypsum 900kg/m3 18mm,Gypsum,900,3.80E+09,0.004,0.018,0.3
Gypsum 960kg/m3 18mm,Gypsum,960,3.00E+09,0.004,0.018,0.3
Gypsum 840kg/m3 25mm,Gypsum,840,2.80E+09,0.004,0.025,0.3
Gypsum 940kg/m3 12.5mm,Gypsum,940,3.20E+09,0.005,0.0125,0.3
Gypsum 960kg/m3 16mm,Gypsum,960,1.40E+09,0.03,0.016,0.3
Gypsum 940kg/m3 19mm,Gypsum,940,1.20E+09,0.018,0.019,0.3
Gypsum 860kg/m3 25mm,Gypsum,860,1.10E+09,0.05,0.025,0.3
Gypsum 661kg/m3 12.5mm,Gypsum,661,1.88E+09,0.01,0.0125,0.3
Gypsum 710kg/m3 12.5mm,Gypsum,710,2.13E+09,0.01,0.0125,0.3
Gypsum 851kg/m3 12.5mm,Gypsum,851,2.85E+09,0.01,0.0125,0.3
Gypsum 826kg/m3 15mm,Gypsum,826,2.72E+09,0.01,0.015,0.3
Gypsum 857kg/m3 12.5mm,Gypsum,857,2.88E+09,0.01,0.0125,0.3
Gypsum 1150kg/m3 10mm,Gypsum,1150,3.80E+09,0.007,0.01,0.3
Gypsum 1150kg/m3 12.5mm,Gypsum,1150,3.80E+09,0.007,0.0125,0.3
Gypsum 1150kg/m3 15mm,Gypsum,1150,3.80E+09,0.007,0.015,0.3
Gypsum 880kg/m3 12.5mm,Gypsum,880,3.66E+09,0.008,0.0125,0.3
Gypsum 850kg/m3 18mm,Gypsum,850,3.30E+09,0.008,0.018,0.3
Gypsum 866kg/m3 15mm,Gypsum,866,3.49E+09,0.008,0.015,0.3
