Name,Category,Density,AirFlowResistivity,Thickness,MaterialDensity,SolidElasticModulus,SolidPoissonRatio,DampingRatio
FiberGlass 12kg/m3 130mm 4000 Rayl/m,FiberGlass,12,4000,0.13,2530,69000000000,0.276,0.2
FiberGlass 168kg/m3 13mm 147580 Rayl/m,FiberGlass,168,147580,0.013,2530,69000000000,0.276,0.2
FiberGlass 32kg/m3 25mm 16950 Rayl/m,FiberGlass,32,16950,0.025,2530,69000000000,0.276,0.2
FiberGlass 32kg/m3 50mm 21040 Rayl/m,FiberGlass,32,21040,0.05,2530,69000000000,0.276,0.2
FiberGlass 32kg/m3 75mm 20220 Rayl/m,FiberGlass,32,20220,0.075,2530,69000000000,0.276,0.2
FiberGlass 32kg/m3 100mm 17100 Rayl/m,FiberGlass,32,17100,0.1,2530,69000000000,0.276,0.2
FiberGlass 12kg/m3 90mm 4710 Rayl/m,FiberGlass,12,4710,0.09,2530,69000000000,0.276,0.2
FiberGlass 16kg/m3 90mm 6210 Rayl/m,FiberGlass,16,6210,0.09,2530,69000000000,0.276,0.2
FiberGlass 24kg/m3 90mm 9910 Rayl/m,FiberGlass,24,9910,0.09,2530,69000000000,0.276,0.2
FiberGlass 32kg/m3 90mm 12830 Rayl/m,FiberGlass,32,12830,0.09,2530,69000000000,0.276,0.2
FiberGlass 9kg/m3 145mm 2840 Rayl/m,FiberGlass,9,2840,0.145,2530,69000000000,0.276,0.2
FiberGlass 9kg/m3 160mm 2840 Rayl/m,FiberGlass,9,2840,0.16,2530,69000000000,0.276,0.2
FiberGlass 9.25kg/m3 180mm 2840 Rayl/m,FiberGlass,9.25,2840,0.18,2530,69000000000,0.276,0.2
FiberGlass 13.5kg/m3 22mm 5280 Rayl/m,FiberGlass,13.5,5280,0.022,2530,69000000000,0.276,0.2
FiberGlass 12kg/m3 75mm 4710 Rayl/m,FiberGlass,12,4710,0.075,2530,69000000000,0.276,0.2
FiberGlass 18kg/m3 90mm 7800 Rayl/m,FiberGlass,18,7800,0.09,2530,69000000000,0.276,0.2
FiberGlass 16kg/m3 140mm 6210 Rayl/m,FiberGlass,16,6210,0.14,2530,69000000000,0.276,0.2
FiberGlass 9kg/m3 120mm 2840 Rayl/m,FiberGlass,9,2840,0.12,2530,69000000000,0.276,0.2
FiberGlass 9kg/m3 130mm 2840 Rayl/m,FiberGlass,9,2840,0.13,2530,69000000000,0.276,0.2
FiberGlass 13kg/m3 40mm 5000 Rayl/m,FiberGlass,13,5000,0.04,2530,69000000000,0.276,0.2
FiberGlass 16kg/m3 50mm 6210 Rayl/m,FiberGlass,16,6210,0.05,2530,69000000000,0.276,0.2
FiberGlass 9kg/m3 75mm 2840 Rayl/m,FiberGlass,9,2840,0.075,2530,69000000000,0.276,0.2
FiberGlass 16kg/m3 75mm 6210 Rayl/m,FiberGlass,16,6210,0.075,2530,69000000000,0.276,0.2
FiberGlass 9kg/m3 90mm 2840 Rayl/m,FiberGlass,9,2840,0.09,2530,69000000000,0.276,0.2
FiberGlass 13kg/m3 90mm 5000 Rayl/m,FiberGlass,13,5000,0.09,2530,69000000000,0.276,0.2
FiberGlass 29.5kg/m3 90mm 13470 Rayl/m,FiberGlass,29.5,13470,0.09,2530,69000000000,0.276,0.2
FiberGlass 18kg/m3 110mm 7800 Rayl/m,FiberGlass,18,7800,0.11,2530,69000000000,0.276,0.2
FiberGlass 24kg/m3 25mm 9910 Rayl/m,FiberGlass,24,9910,0.025,2530,69000000000,0.276,0.2
FiberGlass 18kg/m3 25mm 7800 Rayl/m,FiberGlass,18,7800,0.025,2530,69000000000,0.276,0.2
FiberGlass 8.5kg/m3 120mm 2840 Rayl/m,FiberGlass,8.5,2840,0.12,2530,69000000000,0.276,0.2
FiberGlass 8kg/m3 140mm 2840 Rayl/m,FiberGlass,8,2840,0.14,2530,69000000000,0.276,0.2
FiberGlass 8.5kg/m3 165mm 2840 Rayl/m,FiberGlass,8.5,2840,0.165,2530,69000000000,0.276,0.2
FiberGlass 8.5kg/m3 195mm 2840 Rayl/m,FiberGlass,8.5,2840,0.195,2530,69000000000,0.276,0.2
FiberGlass 8.5kg/m3 236mm 2840 Rayl/m,FiberGlass,8.5,2840,0.236,2530,69000000000,0.276,0.2
FiberGlass 9kg/m3 278mm 2840 Rayl/m,FiberGlass,9,2840,0.278,2530,69000000000,0.276,0.2
FiberGlass 11kg/m3 50mm 4200 Rayl/m,FiberGlass,11,4200,0.05,2530,69000000000,0.276,0.2
FiberGlass 11kg/m3 75mm 4200 Rayl/m,FiberGlass,11,4200,0.075,2530,69000000000,0.276,0.2
FiberGlass 11kg/m3 90mm 4200 Rayl/m,FiberGlass,11,4200,0.09,2530,69000000000,0.276,0.2
FiberGlass 11kg/m3 110mm 4200 Rayl/m,FiberGlass,11,4200,0.11,2530,69000000000,0.276,0.2
FiberGlass 11kg/m3 165mm 4200 Rayl/m,FiberGlass,11,4200,0.165,2530,69000000000,0.276,0.2
FiberGlass 14kg/m3 50mm 5290 Rayl/m,FiberGlass,14,5290,0.05,2530,69000000000,0.276,0.2
FiberGlass 14kg/m3 75mm 5290 Rayl/m,FiberGlass,14,5290,0.075,2530,69000000000,0.276,0.2
FiberGlass 14kg/m3 90mm 5290 Rayl/m,FiberGlass,14,5290,0.09,2530,69000000000,0.276,0.2
FiberGlass 14kg/m3 110mm 5290 Rayl/m,FiberGlass,14,5290,0.11,2530,69000000000,0.276,0.2
FiberGlass 24kg/m3 50mm 9910 Rayl/m,FiberGlass,24,9910,0.05,2530,69000000000,0.276,0.2
FiberGlass 24kg/m3 64mm 9910 Rayl/m,FiberGlass,24,9910,0.064,2530,69000000000,0.276,0.2
FiberGlass 24kg/m3 75mm 9910 Rayl/m,FiberGlass,24,9910,0.075,2530,69000000000,0.276,0.2
FiberGlass 24kg/m3 100mm 9910 Rayl/m,FiberGlass,24,9910,0.1,2530,69000000000,0.276,0.2
FiberGlass 32kg/m3 50mm 12830 Rayl/m,FiberGlass,32,12830,0.05,2530,69000000000,0.276,0.2
